2019-07-01 23:58:31,b'RT @MickyGupta84: Here\xe2\x80\x99s what the Western Express Highway looks like right now! @ndtv reporting live tonight #MumbaiRainlive  #MumbaiRain #\xe2\x80\xa6'
2019-07-01 23:57:35,b'RT @bharatkavikas: Plz Note At #Bhiwandi.....\n#MumbaiRainsLive \n#MumbaiRain \n#MumbaiRainsLiveUpdates https://t.co/14MQNDmOxP'
2019-07-01 23:54:42,b'#MumbaiRainlive #MumbaiRain #mumbairains #MumbaiRainsLiveUpdates #MSEB no power in Mulund from last more then 4.30 hrs'
2019-07-01 23:52:44,"b""Power cut, torrential downpour, waterlogged roads. Rains, please stop now! It's scary now \xf0\x9f\x98\x94 \n#MumbaiRainsLive\xe2\x80\xa6 https://t.co/BysD3yJI3W"""
2019-07-01 23:52:29,b'Govt should declare holiday today before it gets too late under precautionary measure #MumbaiRainsLive #MumbaiRain'
2019-07-01 23:51:29,b'RT @mehtaarpit: #MumbaiRainsLiveUpdates\n\n#JVPD scheme is submerged dont even think of going there unless you are in a boat.\n\nRoad from prit\xe2\x80\xa6'
2019-07-01 23:49:54,b'@drmmumbaicr\n@rpfcrbb\n@rpfcr\n@rpfwr1\n@rpfwrbct\n@drmbct\n@RailMinIndia\n\n#MumbaiRain #MumbaiRainsLive #Monsoon2019\xe2\x80\xa6 https://t.co/KSMP5gBqGH'
2019-07-01 23:46:16,b'@mybmc 273 crores worth of patience is a tat too expensive for the voters. What was done with this money?\xe2\x80\xa6 https://t.co/RUS2D7ua0s'
2019-07-01 23:45:40,"b'RT @abhijeetg: While the entire #nation #sleeps, #Mumbaikars stay awake to help their fellow #city residents \n\nThat is the true #spirit of\xe2\x80\xa6'"
2019-07-01 23:45:15,b'RT @Rohit_jii20: #MumbaiRain\n#\xe0\xa4\x85\xe0\xa4\xb8\xe0\xa4\xb2\xe0\xa5\x80_\xe0\xa4\x9c\xe0\xa4\x97\xe0\xa4\xa8\xe0\xa5\x8d\xe0\xa4\xa8\xe0\xa4\xbe\xe0\xa4\xa5_\xe0\xa4\x95\xe0\xa4\xac\xe0\xa5\x80\xe0\xa4\xb0 \nWho created Jagannath temple ? The Father of whole universe Kavirdev means Lord Kabir is t\xe2\x80\xa6'
2019-07-01 23:44:54,b'RT @MenonGyan: Heavy rains and waterlogging in shiv shrishti Kurla east. Water level is dangerously high.\n#mumbaimonsoon #MumbaiRain #Mumba\xe2\x80\xa6'
2019-07-01 23:42:56,b'RT @Rahulvyas7Vyas: Delays and diversions reported from mumbai due to temporary main runway closure as Spicejet aircraft shoots runway. \nAl\xe2\x80\xa6'
2019-07-01 23:41:42,"b""RT @TheSimpleBuoy: This is the condition of #Mumbai..\nOne day heavy rains and it's start flooding. Water logging all over, traffic jammed.\xe2\x80\xa6"""
2019-07-01 23:41:12,b'RT @JKMalpani: #MumbaiRain #RainDost #NeedHelp #Kurla-LBS-KasbaRest Wife &amp; 2 kids stranded for 3-4 hours. On way to airport for USA flight'
2019-07-01 23:40:54,"b""RT @AhmanSayyed: Guys if you are stuck near by Mahim, Bandra or Shivaji park please do contact me on 9773080709  I'll have all necessary ar\xe2\x80\xa6"""
2019-07-01 23:39:07,"b'RT @Cherylaldis: Water levels have risen again in Tilak Nagar, Chembur near Tilak Nagar station road. The parked cars are slowly beginning\xe2\x80\xa6'"
2019-07-01 23:36:58,"b""Yep yep .. not sailing a boat .. it's car .. #mumbaiRain #scaryDrive https://t.co/Jtru80rPTL"""
2019-07-01 23:35:22,b'Please Be careful #mumbai \n#MumbaiRainsLiveUpdates \n#MumbaiRains\n#MumbaiRainsLive #mumbaimonsoon #MumbaiRain https://t.co/xTBwzolzJ3'
2019-07-01 23:35:00,"b""This is the condition of #Mumbai..\nOne day heavy rains and it's start flooding. Water logging all over, traffic jam\xe2\x80\xa6 https://t.co/jAneDEGLUZ"""
2019-07-01 23:34:17,b'RT @Darth_Foodie: Please try to avoid the LBS road leading from Nirmal Lifestyle till Bhandup. Water levels are way above the waist and @Mu\xe2\x80\xa6'
2019-07-01 23:33:05,b'RT @MickyGupta84: Here\xe2\x80\x99s what the Western Express Highway looks like right now! @ndtv reporting live tonight #MumbaiRainlive  #MumbaiRain #\xe2\x80\xa6'
2019-07-01 23:32:43,b'RT @bharatkavikas: I have never experienced such torrential rains in my life. The severity is scary!! #MumbaiRainsLiveUpdates \n#MumbaiRains\xe2\x80\xa6'
2019-07-01 23:32:40,b'RT @bharatkavikas: Anyone Stuck In #bhiwandi... Please Free To Contact Me On 9545678000.... Will Make Necessary Arrangements.....\n\n#MumbaiR\xe2\x80\xa6'
2019-07-01 23:32:38,b'RT @bharatkavikas: Plz Note At #Bhiwandi.....\n#MumbaiRainsLive \n#MumbaiRain \n#MumbaiRainsLiveUpdates https://t.co/14MQNDmOxP'
